"Finding","Actual","Reference","Difference"
"ACL","0.20345237851142883","0.20345233380794525","4.470348358154297E-08"
"MCL","0.2901681661605835","0.29016822576522827","5.960464477539063E-08"
"Medial Meniscus","0.4106006324291229","0.410600483417511","1.4901161193847656E-07"
"Lateral Meniscus","0.7479868531227112","0.7479866743087769","1.7881393432617188E-07"
"Medial OA","0.6073434352874756","0.6073432564735413","1.7881393432617188E-07"
"Lateral OA","0.6608086824417114","0.6608086824417114","0"
"PF OA","0.8107481598854065","0.8107481598854065","0"
"Effusion","0.4357095956802368","0.435709685087204","8.940696716308594E-08"
"Synovitis","0.6393622756004333","0.6393622756004333","0"
"Baker's","0.446150004863739","0.4461500346660614","2.980232238769531E-08"
"Contusion","0.14415545761585236","0.14415548741817474","2.980232238769531E-08"
"Fracture","0.4300882816314697","0.43008822202682495","5.960464477539063E-08"
